135  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=17 Nb_Messages=196
136  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=13 Nb_Messages=243
137  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=108, nb_calimsMax=3, nb_claims=4 Nb_Messages=206
138  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=111, nb_calimsMax=3, nb_claims=24 Nb_Messages=221
139  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=117, nb_calimsMax=2, nb_claims=2 Nb_Messages=216
140  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=27 Nb_Messages=262
141  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=111, nb_calimsMax=3, nb_claims=24 Nb_Messages=205
142  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=113, nb_calimsMax=2, nb_claims=3 Nb_Messages=239
143  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=108, nb_calimsMax=4, nb_claims=12 Nb_Messages=193
144  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=12 Nb_Messages=199
145  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=115, nb_calimsMax=3, nb_claims=20 Nb_Messages=203
146  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=117, nb_calimsMax=2, nb_claims=7 Nb_Messages=251
147  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=112, nb_calimsMax=3, nb_claims=10 Nb_Messages=204
148  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=109, nb_calimsMax=4, nb_claims=8 Nb_Messages=204
149  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=120, nb_calimsMax=3, nb_claims=10 Nb_Messages=251
150  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=112, nb_calimsMax=3, nb_claims=16 Nb_Messages=206
151  notDtected 2 0 nb_WinessCacheMax=5 nb_WinessCache=117, nb_calimsMax=5, nb_claims=27 Nb_Messages=232
152  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=3 Nb_Messages=241
153  notDtected 2 0 nb_WinessCacheMax=5 nb_WinessCache=109, nb_calimsMax=5, nb_claims=19 Nb_Messages=233
154  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=117, nb_calimsMax=3, nb_claims=7 Nb_Messages=223
155  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=120, nb_calimsMax=2, nb_claims=15 Nb_Messages=260
156  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=7 Nb_Messages=202
157  notDtected 2 0 nb_WinessCacheMax=1 nb_WinessCache=113, nb_calimsMax=1, nb_claims=1 Nb_Messages=214
158  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=122, nb_calimsMax=3, nb_claims=34 Nb_Messages=231
159  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=122, nb_calimsMax=3, nb_claims=4 Nb_Messages=250
160  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=106, nb_calimsMax=3, nb_claims=14 Nb_Messages=183
161  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=111, nb_calimsMax=4, nb_claims=22 Nb_Messages=195
162  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=115, nb_calimsMax=3, nb_claims=5 Nb_Messages=220
163  notDtected 2 0 nb_WinessCacheMax=5 nb_WinessCache=117, nb_calimsMax=5, nb_claims=16 Nb_Messages=262
164  notDtected 2 0 nb_WinessCacheMax=1 nb_WinessCache=122, nb_calimsMax=1, nb_claims=1 Nb_Messages=240
165  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=119, nb_calimsMax=3, nb_claims=5 Nb_Messages=233
